S1MEAN,S2MEAN,S3MEAN,S4MEAN,S5MEAN,S1MEDIAN,S2MEDIAN,S3MEDIAN,S4MEDIAN,S5MEDIAN,S1STDEV,S2STDEV,S3STDEV,S4STDEV,S5STDEV,S1AVEDEV,S2AVEDEV,S3AVEDEV,S4AVEDEV,S5AVEDEV,S1MIN,S2MIN,S3MIN,S4MIN,S5MIN,S1MAX,S2MAX,S3MAX,S4MAX,S5MAX,S1SKEW,S2SKEW,S3SKEW,S4SKEW,S5SKEW,S1KURT,S2KURT,S3KURT,S4KURT,S5KURT,ASA,S1MEAN2,S2MEAN2,S3MEAN2,S4MEAN2,S5MEAN2,S1MEDIAN2,S2MEDIAN2,S3MEDIAN2,S4MEDIAN2,S5MEDIAN2,S1STDEV2,S2STDEV2,S3STDEV2,S4STDEV2,S5STDEV2,S1AVEDEV2,S2AVEDEV2,S3AVEDEV2,S4AVEDEV2,S5AVEDEV2,S1MIN2,S2MIN2,S3MIN2,S4MIN2,S5MIN2,S1MAX2,S2MAX2,S3MAX2,S4MAX2,S5MAX2,S1SKEW2,S2SKEW2,S3SKEW2,S4SKEW2,S5SKEW2,S1KURT2,S2KURT2,S3KURT2,S4KURT2,S5KURT2,SUBJECT,ACTION,TRIAL
800.6349473,252.7440143,-37.31954155,-204.1856737,-127.9185896,1006,131,-1,-159,-133,420.3870745,416.7772323,334.7590411,351.128212,161.6981566,334.9546925,312.8725073,288.9994365,309.6662962,121.048082,-43,-228,-565,-606,-637,1060.1,1032,380,543,55,-1.472494554,0.96503506,-0.329513787,0.160807723,-0.792423253,0.21384746,-0.305800384,-1.238997215,-1.394648773,-0.567233437,874.2674412,815.3356608,339.1721681,285.9849382,332.589894,147.5204637,1006,216,244,302.75,133,391.1018619,350.0375584,177.8750109,233.1126697,144.0319193,311.4335508,274.401902,143.4688186,210.6614239,107.5810712,30,54,0,2,0,1060.1,1032,565,606,637,-1.468138113,1.35350397,0.076728565,-0.072863045,1.048130115,0.207799522,0.063688704,-0.822079823,-1.571829456,-0.254610153,1,1,1
802.5803974,250.463523,-51.55063313,-201.4920708,-127.3484395,1001.5,90,0,-156,-135,418.2174963,425.7860369,326.9530857,357.3136981,164.032253,333.2829844,329.2074274,283.6281593,314.0961617,123.6383451,-51,-522,-586,-1164,-501,1279,1278,357,572,96,-1.473450091,0.870634419,-0.404495772,0.179114353,-0.766335404,0.217056588,-0.383406096,-1.183971285,-1.354257909,-0.603951533,875.409286,814.8312229,348.5509456,275.9938936,336.3394298,149.4312105,1001.5,239,240,315,135,393.8097155,350.0323968,182.6582439,234.7957715,144.1975325,313.6816637,272.6917439,142.9946068,211.8588111,107.7359508,19,71,0,0.74854,0,1279,1278,586,1164,501,-1.469987496,1.286280989,0.261546359,-0.094288652,1.04430521,0.212604203,-0.03542681,-0.698356347,-1.548502697,-0.264686876,1,1,2
814.4723573,233.1030769,63.52442244,-200.6573592,-125.4581958,1026.5,149,4,-154,-135,421.0042731,441.401708,197.4745616,360.0595844,163.9280505,335.1287093,332.1005392,183.4558567,315.1647435,123.8720023,-36,-567.13,-251,-611,-536,1082,1039,375,734,265,-1.465241368,0.746933631,0.281941562,0.218820346,-0.769069467,0.203406869,-0.353735268,-1.6025438,-1.270404011,-0.512932143,881.8961119,823.8121236,348.1782792,174.6328032,336.7008926,149.5057191,1026.5,232,160,321,135,402.4165429,357.6667029,111.9260968,237.7353636,142.3317729,320.1850831,285.5700752,94.61235841,219.7019298,105.4990662,13.76,0,0,0,0,1082,1039,375,734,536,-1.461936099,1.155874518,0.116388366,-0.102304832,1.087496637,0.198795433,-0.226525992,-1.083122186,-1.635022293,-0.101042269,1,1,3
817.7462246,261.3154003,54.04386763,-200.1283489,-128.3604498,1028,158,-23.779,-153,-134,421.741646,412.633264,196.030553,359.9769256,170.6701075,335.7898298,311.7549496,181.6103987,316.4809714,129.9379244,-255,-243,-227,-637,-520,1277,1063,488,519,121,-1.474564863,0.947204775,0.345882647,0.18025734,-0.769873641,0.228888588,-0.366951034,-1.499419495,-1.364423959,-0.574916194,892.4366235,828.3379605,343.366671,176.4423933,337.725088,154.4913798,1028,200,161,333,134,400.5325073,347.3291114,101.0394548,235.7031465,147.4281296,318.8430524,271.7210116,83.67623541,213.1363692,111.3845951,0,0,0,0,0,1277,1063,488,637,520,-1.469501833,1.333906426,0.474354248,-0.107970432,1.090753615,0.216106683,0.043676384,-0.702933544,-1.589469592,-0.181821003,1,1,4
823.2393444,250.9888511,32.25375905,-208.1629938,-129.4224122,1018,149,54.3825,-152,-135.015,378.5853444,424.8626941,312.8785042,350.8009862,171.7551284,301.4075632,335.0455223,230.713436,311.0065002,128.7845271,56,-237,-548,-611,-513,1048,1039,407,519,109,-1.467054446,0.914056988,-0.874490315,0.15142273,-0.771512417,0.204703191,-0.470610401,-0.434359106,-1.357958369,-0.583466778,895.4555932,823.2393444,344.6037521,247.5575051,330.6110925,155.0272662,1018,202.76,229,301,135.015,378.5853444,353.1773779,193.9830243,238.8901827,149.0443517,301.4075632,272.9289754,171.154688,220.3003807,111.992929,56,8,0,1,0,1048,1039,548,611,513,-1.467054446,1.25579539,0.263568284,-0.027078934,1.078440261,0.204703191,-0.060475264,-1.42615071,-1.64721446,-0.210360348,1,1,5
472.0315703,146.6467508,302.3036019,-175.8653004,-137.758628,180,185,423,-152,-137,458.5530766,559.9214807,559.9491084,405.0966922,191.7635784,444.9680771,469.0474848,512.1682833,338.4014296,138.902699,-21.201,-731,-521.02,-617,-686.52,1049,1004,921,858,72,0.350969645,-0.119589679,-0.241321371,0.473106077,-0.985484143,-1.797592473,-1.113825456,-1.573481431,-0.849595141,-0.040933191,620.9771204,475.2582039,498.376835,570.9461197,363.8997223,165.3620516,180,492,518,431.5,137,455.2069612,294.2183179,280.8470327,250.1520923,168.5330614,442.3867702,255.8923658,253.8647676,234.6086687,126.0217577,0,162,1,4,0,1049,1004,921,858,686.52,0.360379212,0.224965985,-0.004567632,-0.239979488,1.306624212,-1.803994907,-1.425746089,-1.554029776,-1.626410238,0.511091788,1,2,1
494.1955102,201.0395691,281.5376743,-179.3379372,-139.3257997,392.675,368.82,400,-151,-136.605,389.2133601,576.246289,579.5079824,397.2318545,194.4783145,351.9732234,517.0176224,528.9291855,336.3213344,141.5938495,-63,-694,-562,-616,-632,1016,960,916,648,83,0.058976533,-0.288854762,-0.273300584,0.379336484,-0.913510965,-1.455212834,-1.310299791,-1.550457674,-1.091528277,-0.366834733,644.5799771,511.5234766,557.2255362,585.2367204,360.8078457,168.1295297,392.675,587.5,559,466.875,136.605,366.1341835,248.7720309,269.2662711,244.4190794,170.1853121,338.1108503,210.3898961,238.9012553,231.5038451,129.3696816,1,214,196,0,0,1016,960,916,648,632,0.188265812,0.149459925,-0.100308966,-0.30779442,1.215320804,-1.545888298,-1.132978875,-1.502865271,-1.654358176,0.04313311,1,2,2
440.5288138,160.5565536,138.144301,-239.6855235,-129.4176339,434,225,432,-152,-135.555,306.0497577,521.9168327,707.5842966,314.9258303,177.7936112,260.5776282,432.6021287,677.5344235,288.9974082,133.0621595,-44,-810.44,-737.29,-614,-546,792,949,853.18,584,78,-0.297369328,-0.09871731,-0.286511338,-0.005848906,-0.787132382,-1.280415902,-0.920983781,-1.785131145,-1.430498181,-0.516174049,559.5765942,454.7667087,464.7134394,705.1632837,303.3508848,158.9234673,434,413.61,735.5,153,135.555,284.4554771,286.6202668,149.4610769,254.1529116,151.9864428,249.0720725,244.1772761,118.4287308,241.8381323,114.2496719,26,141,396,0,0,792,949,853.18,614,546,-0.159445129,0.515892065,-0.948587739,0.191229819,1.130610257,-1.428145504,-1.177149316,-0.469978093,-1.764368306,-0.063437937,1,2,3
634.4421851,179.2619734,267.1798639,-210.0063231,-140.0755938,571,137.97,220,-152,-134,400.5169441,563.0448299,409.0717856,355.2918737,200.965453,332.4265437,464.8641717,375.8747607,313.157243,145.3903723,-49,-700,-187.7,-626,-776,1082,1087,1017,712,122,-0.463545978,-0.043173432,0.111905403,0.214504534,-1.022229656,-1.021302409,-1.027452483,-1.742382328,-1.17013145,0.041063538,754.8249126,645.963507,483.2013005,405.5124603,331.9926302,170.3632488,571,519,220,277.8,134,381.6504592,340.0081626,272.4963787,245.1416451,176.0159082,323.2094862,296.096545,263.4276655,231.4903628,132.4269712,1,73,2,0,0,1082,1087,1017,712,776,-0.375681567,0.212353221,0.3940513,-0.004477817,1.353576458,-1.116809634,-1.340110289,-1.740763289,-1.722608875,0.625802108,1,2,4
676.3788444,159.6847553,139.0608175,-222.3205688,-130.5352788,805,202,320,-150,-136,393.9054289,553.4560362,447.6804921,335.4780193,180.9658966,302.2079883,452.6225789,388.7293982,303.9409518,134.9324002,-104,-726,-660.18,-615,-556,1085,988,661,469.12,229,-1.184260659,-0.100568024,-0.782232824,0.042561749,-0.782260068,-0.070384445,-0.969661763,-0.832388232,-1.458854507,-0.519243551,754.1825823,708.035295,484.55953,416.5415618,319.4990099,161.0451146,805,442.09,477,227,136,333.648975,311.3631336,214.9392272,244.6941896,154.4334847,251.5625625,274.0312432,185.3264306,229.563616,116.4289782,68,101,36,0,0,1085,988,661,615,556,-1.058125177,0.335062014,-0.664708351,0.117374716,1.128181345,-0.170774802,-1.326962783,-0.932753394,-1.711819317,-0.084331351,1,2,5
