S1MEAN,S2MEAN,S3MEAN,S4MEAN,S5MEAN,S1MEDIAN,S2MEDIAN,S3MEDIAN,S4MEDIAN,S5MEDIAN,S1STDEV,S2STDEV,S3STDEV,S4STDEV,S5STDEV,S1AVEDEV,S2AVEDEV,S3AVEDEV,S4AVEDEV,S5AVEDEV,S1MIN,S2MIN,S3MIN,S4MIN,S5MIN,S1MAX,S2MAX,S3MAX,S4MAX,S5MAX,S1SKEW,S2SKEW,S3SKEW,S4SKEW,S5SKEW,S1KURT,S2KURT,S3KURT,S4KURT,S5KURT,ASA,S1MEAN2,S2MEAN2,S3MEAN2,S4MEAN2,S5MEAN2,S1MEDIAN2,S2MEDIAN2,S3MEDIAN2,S4MEDIAN2,S5MEDIAN2,S1STDEV2,S2STDEV2,S3STDEV2,S4STDEV2,S5STDEV2,S1AVEDEV2,S2AVEDEV2,S3AVEDEV2,S4AVEDEV2,S5AVEDEV2,S1MIN2,S2MIN2,S3MIN2,S4MIN2,S5MIN2,S1MAX2,S2MAX2,S3MAX2,S4MAX2,S5MAX2,S1SKEW2,S2SKEW2,S3SKEW2,S4SKEW2,S5SKEW2,S1KURT2,S2KURT2,S3KURT2,S4KURT2,S5KURT2,SUBJECT,ACTION,TRIAL
871.843289,211.3190486,-52.12622523,-306.7698643,-88.28959081,1078,110.035,-118,-221,-133,381.4750896,423.1627025,161.7140449,233.3853586,93.95399294,304.1185266,319.9760503,151.3878325,217.92587,88.5913259,105,-248,-227,-589,-211,1094,1024,202,2,52,-1.477463774,1.098265783,0.418205821,-0.12637433,0.268304211,0.219865,-0.197258297,-1.525579112,-1.639200762,-1.621593541,953.6175364,871.843289,309.8133459,161.8130775,306.7841413,106.3301732,1078,177,190,221,133,381.4750896,357.3717221,51.71396631,233.3665826,72.90190392,304.1185266,280.5783314,48.94887578,217.9144484,66.94262707,105,5,72,0,0,1094,1024,227,589,211,-1.477463774,1.363371692,-0.479772971,0.126538722,-0.173657771,0.219865,0.081730426,-1.520576813,-1.639350155,-1.486701725,15,ONE,1
871.8346093,217.1838805,-48.04276326,-306.8671983,-87.79258718,1082,75,-117.91,-221,-133,383.3608852,421.3423134,155.4421504,233.6614598,94.57637721,305.6384484,319.1382287,146.178926,218.1988367,89.20482096,101,-242,-209,-588,-210,1092,1020,194,5,93,-1.477855856,1.103209366,0.438556693,-0.126359338,0.281289795,0.220375804,-0.172800966,-1.53000197,-1.63893757,-1.612203166,954.6976206,871.8346093,307.0113037,155.7874786,306.8917652,106.8248445,1082,189,186,221,133,383.3608852,361.1375516,46.80182957,233.6291776,72.38064994,305.6384484,283.161432,44.26045823,218.1791832,66.36611215,101,3,57,0,0,1092,1020,209,588,210,-1.477855856,1.356456777,-0.527276077,0.126641001,-0.186995465,0.220375804,0.064273366,-1.467231944,-1.639192649,-1.472048766,15,ONE,2
872.1949175,206.6157982,-55.25712138,-306.8778464,-87.48212436,1076.9,90,-102.5,-221,-133.01,384.1680679,424.5674863,153.1514399,233.8786253,94.91154646,306.2849009,322.8567477,142.0024522,218.4073989,89.55426286,97,-252,-238,-590,-216,1094,1020,179,5,59.006,-1.477738366,1.125182422,0.295878537,-0.126555275,0.279021046,0.220247517,-0.135048531,-1.584225786,-1.639348784,-1.618525152,953.0448816,872.1949175,301.4350287,153.0538765,306.9070156,107.0748778,1076.9,146,164,221,133.01,384.1680679,363.4057566,55.44745303,233.8403302,72.07389926,306.2849009,284.9290555,50.41877806,218.3840635,66.04295874,97,0,66,0,0,1094,1020,238,590,216,-1.477738366,1.357652065,-0.109064194,0.126888266,-0.183101644,0.220247517,0.06144831,-1.562573395,-1.639649453,-1.463666108,15,ONE,3
817.4686316,178.0185671,9.98270614,-307.1124291,-86.7106292,923,61,-122,-220.945,-133,357.1103409,559.4235755,253.6377159,234.1821905,95.2066658,278.7267246,450.2937253,243.8714579,218.7185304,89.87141163,111,-704,-515,-589,-221,1086,1022,342,5,62.921,-1.325663374,-0.054905519,0.29115575,-0.127172641,0.274981584,0.020125396,-0.849535864,-1.724406917,-1.639307106,-1.621902803,895.4786461,817.4686316,452.8121022,241.8749167,307.2470297,107.2152919,923,467,242,220.945,133,357.1103409,373.5377945,76.82866055,234.005489,71.31745107,278.7267246,324.1387285,63.87580307,218.6108499,65.26581644,111,7,103,0,0,1086,1022,515,589,221,-1.325663374,0.204099446,-0.16750784,0.128710076,-0.170303877,0.020125396,-1.399340116,-0.501383699,-1.640696781,-1.45505601,15,ONE,4
754.6009748,-10.4067038,-117.5355738,-307.1491757,-86.83386538,966,-83,-139.235,-220.785,-133,376.4538695,656.9183348,299.6423439,234.7115467,95.41799034,292.7918164,575.5973715,248.5843174,219.1324654,89.84032357,-2,-761,-697,-598,-225,1076,1029,249.03,31.452,72,-1.300421145,0.353021134,-0.454559666,-0.125947999,0.276222151,-0.053687963,-1.327282513,-1.048031491,-1.63651479,-1.603119631,827.7839562,754.6035065,577.6787122,271.5333629,307.6608797,107.5050459,966,670,208,220.785,133,376.4487926,312.7242918,172.755569,234.0401174,71.31397069,292.7879644,265.4052309,135.6033553,218.7231021,65.04799134,1,18,63,0,0,1076,1029,697,598,225,-1.300412782,-0.268848624,1.374108539,0.131792405,-0.161777193,-0.053711085,-0.980700917,0.119249496,-1.641822593,-1.444388381,15,ONE,5
417.7442626,123.7904818,168.4067045,-308.6073759,-86.03150527,261.365,434.81,345,-220,-134,378.2924982,641.8012253,683.059687,236.5675005,96.382944,350.7697172,597.0140491,639.6855364,221.0765175,91.08880276,9,-732,-693,-592,-207,1009,979,907,5,58,0.46229335,-0.156150211,-0.192192278,-0.130011906,0.280948645,-1.419669063,-1.559176359,-1.750093249,-1.641165197,-1.627632831,566.4230776,417.7442626,621.7721455,673.3668773,308.6551875,108.2951038,261.365,521,686,220,134,378.2924982,201.1553045,203.2611739,236.5050878,70.43645958,350.7697172,179.8205291,171.2744473,221.0382682,64.37248451,9,414,316,0,4,1009,979,907,592,207,0.46229335,0.764489829,-0.446613414,0.13054191,-0.16934179,-1.419669063,-0.966665128,-1.111676868,-1.64163444,-1.447209865,15,TWO,1
248.8067596,136.5683805,-113.2038237,-308.9212622,-85.92257114,226,572,-582,-221,-133,185.9408883,812.5608879,631.7684266,236.9594056,96.83347485,158.6252837,782.554955,611.3707341,221.3459694,91.49359213,-47.03,-987,-663,-596,-209,482,913.69,806,4,54,-0.261489403,-0.382629922,0.472990341,-0.127706173,0.281654935,-1.191496381,-1.731905724,-1.684137455,-1.638726569,-1.627589455,442.9287373,265.6614724,809.8686311,634.0114988,309.0020488,108.6781064,226,889,631.5,221,133,160.9309604,150.7417688,98.97072027,236.853999,70.33081442,145.1415135,138.7284919,75.41947023,221.2813401,64.18694987,36,566,485,0,3,482,987,806,596,209,0.040330984,-0.486539494,0.448186809,0.128595663,-0.168186184,-1.454802275,-1.309925687,-0.676675581,-1.639507794,-1.443314875,15,TWO,2
311.0939729,46.6644921,55.32166591,-309.1766009,-85.67224929,281,345,-197.56,-220.82,-133,520.7243048,702.2929376,568.32255,237.4845916,96.98611728,410.2269345,649.4826275,510.2749923,221.871568,91.48190582,-558,-1014,-711,-595,-211,1032,909.25,915,13,62,-0.303759,-0.34115774,0.238113855,-0.12875522,0.289918748,-0.827054347,-1.446497423,-1.278835748,-1.639264134,-1.608666258,452.7111953,526.3452686,658.815526,499.2106591,309.4241233,108.6181615,537.6,531,482,220.82,133,301.3511268,247.3054567,276.9991808,237.161853,70.32867549,242.7415156,231.0937734,244.5442745,221.6735501,63.94681111,154,317,188,0,0,1032,1014,915,595,211,0.491026858,0.229446692,0.22007848,0.131476643,-0.182522811,-0.921547607,-1.557266422,-1.487839711,-1.641657478,-1.409978714,15,TWO,3
202.2621487,160.3653805,55.35671239,-308.6021057,-90.12381545,82,231,-232,-221,-134,715.6279637,557.8235161,651.0151627,236.0649498,96.22602509,657.3767324,462.5608209,620.3189044,220.2070588,87.65827685,-810.28,-769.22,-706,-640,-323,1067,1115,1066.9,78,225,0.08765375,0.044656463,0.295631964,-0.126730035,0.468582055,-1.715456067,-1.074969416,-1.733488662,-1.621663662,-1.184038755,415.9915377,650.1412991,492.9944248,609.2475619,310.7805182,112.661067,626.45,445.5,619,221,134,360.8055559,306.1771102,235.6683257,233.1883196,68.46320824,305.5299557,274.6760814,183.8226554,218.4643288,60.86450284,27,0,170,0,0,1067,1115,1066.9,640,323,-0.399602986,0.504076935,-0.457241398,0.152795314,-0.228122896,-1.213074811,-1.221947873,-0.892188058,-1.646467739,-1.300284735,15,TWO,4
390.5211152,119.0988018,209.0506783,-309.3279652,-85.05575258,259,210,183,-220,-134,428.4720107,628.0504235,557.4480571,237.4056558,98.15431212,390.5952461,564.328129,470.9872453,221.7962545,92.6078711,-214,-882.88,-686,-594,-209,945,995,821,5,58,0.044893941,0.01513785,-0.361381958,-0.128416005,0.301688672,-1.494999662,-1.536653091,-1.190921229,-1.6389767,-1.602992641,559.7425509,471.5838249,588.1478894,500.8439484,309.4266822,109.6190216,259,575,681,220,134,337.1520159,250.1219228,321.7302604,237.2769177,69.64348859,325.7450783,180.9793494,309.5070684,221.717281,63.13194826,134,206.88,40,0,3,945,995,821,594,209,0.412547385,0.123406242,-0.404222846,0.129500054,-0.195368029,-1.720440781,-0.658986996,-1.702656862,-1.639927681,-1.382733687,15,TWO,5
